film,sinopsis,genre
Badoet (Aug),dia datang dengan tawa pergi dengan kematian. tragedi menimpa kompleks apartemen jakarta ketika tiga anak ditemukan mati secara misterius. karena kecurigaan melakukan kondisi tiga penyewa memutuskan untuk menyelidiki: donald (daniel topan) seorang pelajar senior yang cerdas dengan temperamen; farel (christoffer nelwan) sepupu baik hati dan canggung dari donald dan kayla (aurelie moeremans) sahabat sekelas donald tomboi. entitas yang bertanggung jawab atas wafat yang keji terungkap setelah para pahlawan kami menemukan gambar badut yang dibuat oleh semua korban dan kemudian oleh vino (fernandito syachputra) anak lelaki dari rais (ratu felisha) yang berumur 9 tahun yang jelas sekarang dalam bahaya. dengan bantuan dari saudara indigo eksentrik nikki (tiara westlake) dan rocky (marcel chandrawinata) para pahlawan kami melakukan yang terbaik untuk menyelamatkan bocah itu. ketika donald dan teman-temannya memulai upaya ancaman mereka mulai meningkat. pahlawan kita segera menyadari bahwa mereka menghadapi kekuatan yang menyamarkan kegelapannya melalui tawa yang begitu mengancam.,Horor
Setan Kuburan (Aug),"kisah dari kepercayaan di banyak tempat tentang mayat yang kain kafannya tak sempat dilepas, lalu menjadi hantu pocong. juga kepercayaan akan hutang yang dibawa mati, kucing yang melompati mayat. itulah kisah joyoprono (mansjur sjah), tuan tanah dan tukang kredit yang saat eksistensi bersifat tamak dan serakah. ia meninggal tertimpa pohon. setelah itu muncul pocong mengganggu desa. salim (benyamin s) dan kawannya amir (mang harry), yang berhutang pada joyoprono, merasa bersalah. atas bantuan anjuran ibunya, salim minta kakeknya. kakek dan beberapa penduduk desa lalu mengelilingi pocong saat beraksi. ternyata pocong itu buat-buatan tangan kanan joyoprono didalangi istrinya, untuk menakut-nakuti penduduk yang belum membayar hutang. dipasangnya benyamin s, mansjur sjah, dan reog bkak yang dikenal sebagai pelawak, agaknya memberi warna banyolan pada film bertema horor ini.",Horor
The Editor (Aug),seorang laki-laki muda menginginkan beberapa film rumah dan memutuskan untuk mengeditnya menjadi sebuah film. tapi ini bukan film rumahan biasa.,Horor
Serigala Terakhir (Aug),jarot dan ale adalah kawan baik tumbuh bersama sejak kecil. keduanya memiliki banyak kesamaan tetapi tidak dengan karakter. mereka membentuk kelompok srigala terakhir dan bermimpi menjadi mafia terbesar.,Horor
Petak Umpet Minako (Aug),sekelompok mantan sahabat sekolah dihantui setelah memainkan permainan petak umpet mematikan yang terkenal yang disebut 'hitori kakurenbo'.,Horor
Bisikan Iblis (Aug),nany (amanda manopo) adalah salah satunya. apalagi ketika ia menyaksikan sendiri ibunya terbunuh menggenaskan dibunuh oleh sesosokmakhluk yang bernama “iblis hitam”. sampai pada akhirnya ketika nany sudah beranjak remaja. ia ingin sekolah dengan di tempat misterius tersebut. di sini ia bertemu banyak orang baru. shila (rebecca klopper) yang kelak menjadi rekan persahabatan hingga saingannya di sekolah yaitu hilda (nicole parham) dan violet (andira hadley).,Horor
308 (Aug),putus asa untuk pekerjaan naya beruntung karena sahabatnya menawarkan pekerjaan sebagai pengurus rumah tangga di hotel bintang 5 di tepi pantai. namun hotel ini memiliki satu aturan aneh: jangan pernah membuka nomor kamar 308 dalam keadaan apa pun. berdasarkan legenda sejati nyi roro kidul roh ratu laut selatan yang konon eksistensi di kamar 308 di samudra hotel.,Horor
Ular Tangga (Aug),seorang siswi indigo yang dapat menyaksikan sesuatu yang buruk akan terjadi datang melalui mimpi dengan rencananya dan teman-temannya untuk mendaki gunung namun tidak ada yang mempercayainya.,Horor
Dukun lintah (Aug),"setelah ditolak oleh gadis yang dicintainya, seorang cowok yang sakit hati mendatangi seorang dukun untuk membalas dendam. tak lama kemudian, penduduk desa terinfeksi rabies dan lintah.",Horor
Affair (Aug),"kisah tentang permainan cinta dua sahabat reta (sigi wimala) dan santi (garneta haruni). pengorbanan cinta untuk persahabatan melahirkan sebuah hal yang fatal, dan mengakibatkan kematian. reta dan santi bersahabat sejak kecil. mereka sempat berpisah selama beberapa tahun dan bertemu kembali saat kuliah. reta jatuh cinta pada sahabat kuliah mereka yang bernama daniel (dimas aditya), yang sebenarnya kekasih santi. mengetahui hal itu, santi menyembunyikannya dengan daniel, terlebih ketika santi tahu kalau reta mengidap penyakit kanker otak dan divonis hidupnya tidak lebih dari tiga bulan lagi. ia merelakan kekasihnya daniel agar berpacaran dengan reta selama tiga bulan. awalnya daniel menolak tapi karena santi memaksa. akhirnya daniel setuju. reta berpacaran dengan daniel. kecemburuan dan rasa sakit hati membakar santi setiap kali dia harus memperhatikan daniel bermesraan dengan reta.santi mencoba bertahan. ternyata reta dan daniel sudah merayakan setahun jadian mereka. santi gelisah, karena ternyata reta malah makin terlihat sehat. santi meminta daniel untuk mengatakan hal yang sebenarnya pada reta saat daniel ulang tahun, karena santi telah mengandung anak daniel, mereka tidak menyadari kalau reta mendengar apa yang mereka bicarakan. ketika santi menjemput reta di rumahnya, reta mengatakan pada santi kalau dia sudah tahu sandiwara santi , dan reta mengatakan kalau daniel sudah melamarnya dan akan menikahinya, karena reta juga sedang hamil. ternyata reta membohongi santi selama ini tentang penyakitnya, vonis dokter itu hanya merekayasa reta. mendengar hal itu santi kalap dan membunuh reta, kemudian memotong-motong mayatnya, dan menyimpannya dalam sebuah koper. daniel sangat menyesali perbuatan santi, karena sebenarnya daniel tidak pernah melamar reta. tapi kemudian dia mencoba membantu santi menyingkirkan mayat reta. tapi dalam perjalanan, mereka mengalami kecelakaan dan daniel terbunuh. sosok reta menyaksikan kecelakaan itu dan mengambil koper yang terlempar ke jalan dan berisi mayat dirinya. santi yang luka parah dilarikan ke sebuah rumah sakit oleh sepupunya, moniq (monique henry). dokter dan perawat berusaha keras menyelamatkan hidup santi. kecelakaan itu menyebabkan santi cidera pada otak dan os berdetak. tapi ketika moniq sedang menemani santi di saat-saat komanya, tiba-tiba saja keanehan terjadi, moniq merasa diteror oleh sesuatu yang sangat menyeramkan, dan yang lebih aneh lagi pada saat bersamaan, santi tiba-tiba sadar dan sembuh total. moniq akhirnya mengetahui seluruh permainan cinta yang fatal tersebut dari buku harian santi. moniq menyesalkan santi karena sudah melakukan hal sebodoh itu. tiba-tiba santi bangkit dan mencoba menyerang moniq secara bertubi-tubi hingga moniq jatuh bangun dan terluka parah. menyadari bahwa yang menyerangnya bukan santi melainkan arwah reta yang ada di tubuh santi, moniq memutuskan untuk melawan.",Horor
Danur 2: Maddah (Aug),seorang gadis yang memiliki 3 sahabat hantu kini tinggal bersama saudara perempuannya yang merasa malu dengan kemampuan gadis itu dapat menyaksikan hantu.,Horor
Halfworlds (Aug),"di jalan-jalan yang ramai dan gang-gang belakang jakarta dunia paralelmakhluk haus darah dari mitologi indonesia telah eksistensi berdampingan dengan manusia selama beberapa generasi. mengambil penampilan manusia itu sendiri, identitas sebenarnya dari ""demit"" ini telah disembunyikan dengan saksama selama berabad-abad oleh rumah tangga kuat manusia. kehadiran peristiwa gaib misterius yang hanya diketahui sebagai hadiah akan membawa dunia yang tersembunyi ini ke permukaan. ketika hari hadiah mendekati seorang seniman jalanan muda bernama sarah tiba-tiba menemukan dirinya di mata badai. setelah demit menyadari siapa sarah sebenarnya dan apa yang harus dia lakukan sebagai manusia dan demit diatur pada jalur tabrakan yang dapat mengubah keseimbangan dua dunia mereka selamanya.",Horor
Gairah malam (Aug),niat film utama ini menyajikan adegan-adegan erotis namun diramu dengan unsur-unsur laris lainnya seperti laga dan kekuatan gaib yang disajikan dengan banyak trik sinematografi. kisahnya berawal dari balas dendam ajeng puspadewi (malfin shayna) yang di kala remajanya diperkosa dan dihina habis-habisan oleh seorang jagoan-tuan tanah yang ternyata adalah ayah dari dua pendekar ludira (adam yordan) yang berwatak jahat dan aditya (ariel perkasa gm) yang berwatak putih. dendam itu membuat ajeng menekuni ilmu hitam yang berguna untuk memelihara kecantikan sekaligus kesaktiannya. dendam itu ternyata membawa korban lain ke kerabat seorang gadis yang kemudian juga menuntut balas. perkelahian habis-habisan mengakhiri cerita ini.,Horor
Kafir: Bersekutu dengan Setan (Aug),sebuah rumah tangga sedang dihantui oleh roh yang tidak dikenal.,Horor
Skandal Iblis (Aug),seorang arkeolog perempuan dirasuki oleh roh jahat dari sebuah kalung tua.,Horor
Mirror (Aug),seorang gadis sma bernama kikan mulai menyaksikan orang mati melalui cermin.,Horor
Hantu Aborsi (Aug),semenjak pindah ke rumah baru caca 7 tahun sering menunjukkan perilaku aneh. orang terdekatnya sering memandang gadis ini berbicara dan bercanda sendiri di dalam kamar. menurut caca temannya bernama cinta.,Horor
Kelam (Aug),"setelah donor jantung, sasha pulang ke rumah dan sesuatu terjadi. nina berasumsi bahwa itu karena donor jantung yang dia dapatkan dari tiara dan dia menghantui rumah itu. nina, harus berjuang dan menyelamatkan sasha dari gangguan hantu anak itu.",Horor
Get Lost: Urban Legend di Benteng Pendem (Aug),"ringgo (maxime bouttier), nadia (agatha valleri), pacar ringgo, vina (angelica simpeler), anton (aga dirgantara), bombom (indra kharisma) merencanakan petualangan seru saat bolos sekolah mereka. di tengah perjalanan mereka harus memutar arah melalui jalan potong karena menghindari operasi polisi. di tengah jalan pintas itu mobil mereka bermasalah dan mereka memandang sebuah bangunan tua: benteng pendem peninggalan belanda. karena sudah lelah mereka memutuskan istirahat malam itu di benteng tersebut. ternyata jalan pintas yang mereka pilih juga memutar arah waktu. ringgo dkk merasa ada sesuatu yang berbeda di sekitar mereka dan terus menghantui kemana pun mereka berada.",Horor
12:06 Rumah Kucing (Aug),"banyak kejadian aneh dan menakutkan yang dialami rumah tangga randy (adi nugroho) dan rosa (masayu anastasia), sejak terbelahnya secara misterius lantai gudang di rumahnya pada 12.06. kehadiran beberapa ekor kucing membuka kisah tragis masa lalu dan membangkitkan arwah sally, yang meninggal dunia secara tidak wajar. semula randy tidak mempercayai pada cerita-cerita seram yang menakutkan yang dialami istri dan anak-anaknya, rasti (cathy fakandi) dan radit (endy arfian). rasti pelan-pelan dirasuki arwah sally. pada saat rasti mulai aneh, radit mencari tahu cerita rumah mereka kepada penghuni terdahulu, adelia. rumah tangga adelia sering mengalami gangguan dari mahluk halus dan suaminya menyebabkan penyakit cacat. atas saran adelia, radit memanggil kyai rahman untuk membantu keluarganya.",Horor
Maaf saya menghamili istri anda (Aug),dibyo (ringgo agus rahman) adalah pecundang lahir alami yang nasibnya berubah pada suatu hari ketika seorang cewek cantik mira (mulan kwok) jatuh di atas neraka bersamanya. kisah cinta mereka berjalan terlalu jauh dan mira menemukan dirinya hamil dengan anak dibyo. sayangnya tanpa diketahui dibyo mira masih terikat secara hukum sebagai istri lamhot (eddie karsito) penjahat besar. lamhot menjadi gila ketika dia tahu tentang hal ini tetapi dia cukup pintar untuk menghukum dibyo dengan cara yang tidak biasa: dengan memaksanya untuk menikahi adik perempuan lamhot yang sama keras kepala butet (shanty). bisakah dibyo lolos dari rencana mengerikan ini?,Horor
Danur 3: Sunyaruri (Aug),"setelah bertahun-tahun bersahabat dengan hantu-hantu kecilnya, seorang gadis mulai merasa bahwa ia harus menjalani kehidupan normal seperti gadis-gadis lainnya. apalagi, sekarang ia sudah punya pacar, tetapi ia tidak menceritakan tentang kemampuannya menyaksikan hantu.",Horor
Bisikan Iblis (Aug),nany (amanda manopo) adalah salah satunya. apalagi ketika ia memperhatikan sendiri ibunya terbunuh menggenaskan dibunuh oleh sesosokmakhluk yang bernama “iblis hitam”. sampai pada akhirnya ketika nany sudah beranjak remaja. ia ingin sekolah dengan di tempat misterius tersebut. di sini ia bertemu banyak orang baru. shila (rebecca klopper) yang kelak menjadi kawan persahabatan hingga saingannya di sekolah yaitu hilda (nicole parham) dan violet (andira hadley).,Horor
Pengabdi Setan (Aug),sebuah rumah tangga kaya yang telah berhenti menjalankan ajaran islam mereka disiksa oleh mayat nasib setelah ibu mereka meninggal.,Horor
Pesantren Impian (Aug),sepuluh gadis mendapatkan undangan misterius untuk tinggal di pesantren impian. pondok terpencil itu didirikan gus budiman untuk memberi kesempatan kedua bagi mereka yang mempunyai masa lalu gelap. sissy seorang model datang dengan sahabatnya inong yang menyimpan masalah sendiri. tapi dengan kasus narkobanya. sri hadir dengan skandal pelacuran. sementara rini yang tampak lugu ternyata hamil di luar nikah. selain mereka ada sederet nama lain dengan masalah masing-masing. termasuk eni polwan muda cerdas dan ambisius yang sedang mengusut kasus pembunuhan di hotel crystal dan mendapat petunjuk tersangkanya berada di pesantren impian. tak mudah mencairkan ketegangan di antara para santriwati yang tidak saling mengenal. penyebab masa lalu dan berbagai kebiasaan buruk terlanjur berkarat. pembimbing pesantren ustadz agam dan ustadzah hanum juga umar sosok tampan misterius yang dekat dengan gus budiman terus menyemangati. perlahan-lahan mereka berproses untuk mengenal islam dengan lebih baik. pesantren berangsur impian terasa seperti rumah kedua yang menawarkan oase keren yang tak pernah mereka temukan. hingga suatu ketika pesantren diserang. meninggal demi meninggal aneh mulai terjadi. para santriwati ketakutan. umar eni dan inong serta para gadis berjuang mengalahkan intimidasi mengerikan yang menimpa pesantren impian.,Horor
Solit4ire (Aug),permainan kartu menjadi nasib siapa yang memegang kendali? empat orang asing tanpa sadar melangkah ke ranah supranatural. akankah mereka bertahan? hal tersembunyi apa yang mereka bagikan?,Horor
Danur 2: Maddah (Aug),seorang gadis yang memiliki 3 kawan hantu kini tinggal bersama saudara perempuannya yang merasa malu dengan kemampuan gadis itu dapat memperhatikan hantu.,Horor
Dukun lintah (Aug),"setelah ditolak oleh gadis yang dicintainya, seorang cowok yang sakit hati mendatangi seorang dukun untuk membalas dendam. tak lama kemudian, penduduk desa terinfeksi rabies dan lintah.",Horor
Kafir: Bersekutu dengan Setan (Aug),sebuah sanak saudara sedang dihantui oleh roh yang tidak dikenal.,Horor
Beranak dalam kubur (Aug),beranak dalam kubur adalah film bergenre horor yang bercerita tentang jessy (adhitya putri) jovan (revand narya) titaz (dinda kanya dewi) kaila (shalvynne) dan brian (siran). mereka adalah mahasiswa kedokteran yang saling berteman akrab bersama - sama mengikuti kegiatan observasi untuk kepentingan mata kuliah praktikum anatomi di sebuah rumah sakit. di sana mereka menemukan kamar mayat yang tak lagi dimanfaatkan. kamar mayat itu telah digantikan oleh keberadaan kamar mayat yang baru. karena kejahilan brian dan kaila mereka berlima pun akhirnya memasuki kamar mayat tersebut. tak satu pun di antara mereka yang tahu bahwa dalam kamar mayat yang sekilas kosong itu sesungguhnya bersemayam sosok mayat perempuan yang sengaja ditempatkan tersembunyi di balik sekat. sejak memasuki kamar mayat itu mereka pun mengalami kejadian-kejadian halusinatif serta teror-teror gaib yang mengancam keselamatan. dimulai dari titaz yang dikejutkan bangkitnya sebuah mayat kadaver sewaktu memeriksanya bersama jovan brian kaila dan jessy saat menghadiri kuliah anatomi untuk memandang mayat kadaver yang digunakan untuk praktik anatomi mahasiswa kedokteran. saat bangkitnya mayat kadaver itu berubah sosoknya seolah-olah ada mayat di kamar mayat tertutup itu di rumah sakit saat mereka melakukan observasi. titaz sangat shock sementara teman-temannya tak terlalu mempercayai peristiwa itu. tapi akhirnya satu per satu dari mereka mendapat gangguan hantu dari mayat perempuan di kamar mayat itu. tak ada yang tahu siapa sesungguhnya sosok hantu perempuan itu. sampai kemudian brian dan kaila harus menghadapi ajal wafat akibat teror hantu perempuan tersebut. jessy jovan dan titaz yang masih tersisa pun berpikir keras untuk mencari tahu jawaban atas misteri yang mengundang maut itu. belakangan barulah terungkap sosok hantu perempuan tersebut adalah jasmine (julia perez). jasmine meninggalkan kampung halamannya demi mengejar mimpinya untuk menjadi penyanyi terkenal di ibukota. namun karena melalaikan pesan ibunya yang janda untuk menjaga kehormatan diri jasmine pun terjerumus dalam kubangan lumpur dosa. jasmine dikhianati oleh laki-laki yang menghamilinya. jasmine bahkan akhirnya terbunuh secara tragis akibat disantet laki-laki itu kemudian bangkit dari wafat secara misterius melahirkan bayinya dalam kubur. sejak itulah arwahnya gentayangan dengan membawa balas dendam. berhasilkah jessy jovan dan titaz mengatasi masalahmakhluk gaib tersebut? ketika mereka mulai menemukan titik terang untuk mengembalikan ketenangan arwah jasmine di alamnya mereka harus merelakan wafat satu dari mereka bertiga yang masih hidup.,Horor
Clown of the Dead (Aug),"tiga sahabat harus mengungkap apa yang melatarbelakangi pembunuhan anak-anak setempat, para korban menggambar gambar yang sama sebelum mereka meninggal. mereka mengungkap roh jahat badut tontonan dan harus mengirimnya kembali ke neraka sebelum lebih banyak anak dibunuh.",Horor
Gairah malam (Aug),niat film utama ini menyajikan adegan-adegan erotis namun diramu dengan unsur-unsur laris lainnya seperti laga dan kekuatan gaib yang disajikan dengan banyak trik sinematografi. kisahnya berawal dari balas dendam ajeng puspadewi (malfin shayna) yang di kala remajanya diperkosa dan dihina habis-habisan oleh seorang jagoan-tuan tanah yang ternyata adalah ayah dari dua pendekar ludira (adam yordan) yang berwatak jahat dan aditya (ariel perkasa gm) yang berwatak putih. dendam itu membuat ajeng menekuni ilmu hitam yang berguna untuk memelihara kecantikan sekaligus kesaktiannya. dendam itu ternyata membawa korban lain ke sanak saudara seorang gadis yang kemudian juga menuntut balas. perkelahian habis-habisan mengakhiri cerita ini.,Horor
The Editor (Aug),seorang lelaki muda menginginkan beberapa film rumah dan memutuskan untuk mengeditnya menjadi sebuah film. tapi ini bukan film rumahan biasa.,Horor
Dongeng Mistis (Aug),"film omnibus ini mengisahkan enam cerita seputar intimidasi enam hantu khas indonesia: ustaz (kiky armando) yang diuji oleh intimidasi pocong; gadis (putri ayudya) yang dikunjungi bajang pasca menggugurkan kandungannya; tipu daya sundel bolong terhadap seorang gadis hamil (marya supraba); reporter investigasi (gandhi fernando) terkait legenda begu ganjang yang misterius; gadis (dea ananda) yang menemukan ayahnya memelihara genderuwo; dan seorang gadis (btari cinta) yang melakukan tarian terlarang memanggil lehak, makhluk terkutuk dari legenda.",Horor
Kembalinya Anak Iblis (Aug),"rama, garin, farel, quincy, dan celsi selamat dari ancaman roh di resor pulau ayunan yang menyimpan sejarah mengerikan pembantaian sanak saudara dan karyawan resor. rama adalah ...",Horor
Anunya kamu (Aug),sebuah dagelan seputar kehidupan para penyiar radio. kelompok sersan prambors masing-masing menjadi pemilik dan penyiar di sebuah radio swasta remaja. maka dagelan berputar pada kehidupan pribadi mereka. mulai hubungan buruk ditayangkan dengan sanak saudara pacarnya sampai sejumlah kesalahan karena keteledoran salah paham dan plesetan kata. puncak cerita berputar pada penyelenggaraan pagelaran musik anunya kamu oleh para penyiar ini.,Horor
